department,character count,syllable count,lexicon count,sentence count,polysyllable count,difficult words,average letter per word,average sentence lenght,average sentence per word,average syllables per word,smog index,automated readability index,coleman liau index,dale chall readability score,flesch kincaid grade,flesch reading ease,gunning fog index,linsear write formula,text standard,,,,Score,Age,Grade Level,,,
ucl_archaeology_text.txt,1642632,492095.7,277298,10684,30550,6739,5.92,25,0.04,1.8,11.2,19.4,17.35,1.62,15.4,29.18,12,11,11th and 12th grade,,11.5,,1,5-6,Kindergarten,,,
ucl_art-history_text.txt,530579,157635.9,92423,4246,8626,4764,5.74,21,0.05,1.7,11.2,16.5,16.01,5.49,12.7,41.7,10.4,11.5,16th and 17th grade,,16.5,,2,6-7,First Grade,,,
ucl_centras__text.txt,133178,36979.2,19652,771,2365,1476,6.78,25,0.04,1.9,13,23.2,22.34,6.06,16.6,20.72,12,11.5,11th and 12th grade,,11.5,,3,7-8,Second Grade,,,
ucl_classics__text.txt,591999,173648.7,109069,4701,7895,4800,5.43,23,0.04,1.6,8.8,15.7,14.51,1.84,12.3,48.13,11.2,11,10th and 11th grade,,10.5,,4,8-9,Third Grade,,,
ucl_dh__text.txt,53870,16534.8,9327,409,1015,466,5.78,22,0.04,1.8,11.2,17.2,16.54,1.88,14.2,32.22,10.8,14,16th and 17th grade,,16.5,,5,9-10,Fourth Grade,,,
ucl_eme__text.txt,59036,17623.8,10606,549,752,530,5.57,19,0.05,1.7,8.8,14.5,15.03,1.73,11.9,43.73,9.6,8.5,8th and 9th grade,,8.5,,6,10-11,Fifth Grade,,,
ucl_hebrew-dis__text.txt,354460,107244.9,59713,2596,6868,4218,5.94,23,0.04,1.8,11.2,18,17.47,5.89,14.6,31.21,11.2,12,11th and 12th grade,,11.5,,7,11-12,Sixth Grade,,,
ucl_hebrew-jewish__text.txt,110615,33780.6,19659,1025,1726,1147,5.63,19,0.05,1.7,8.8,14.7,15.37,5.5,11.9,43.73,9.6,13,14th and 15th grade,,14.5,,8,12-13,Seventh Grade,,,
ucl_history_text.txt,1394406,407624.4,235438,10499,22613,10495,5.92,22,0.04,1.7,11.2,17.7,17.35,1.8,13.1,40.69,10.8,4.5,10th and 11th grade,,10.5,,9,13-14,Eighth Grade,,,
ucl_ijs_text.txt,58332,16163.1,9135,532,947,1160,6.39,17,0.06,1.8,8.8,17.3,19.49,6.48,12.3,37.3,8.8,5.5,8th and 9th grade,,8.5,,10,14-15,Ninth Grade,,,
ucl_livesandletters_text.txt,9786,2816.1,1657,74,133,436,5.91,22,0.04,1.7,8.8,17.6,17.29,8.88,13.1,40.69,10.8,15.5,8th and 9th grade,,8.5,,11,15-16,Tenth Grade,,,
ucl_low-countries-studies__text.txt,6252,1668.6,1059,41,70,122,5.9,25,0.04,1.6,8.8,19.3,17.24,6.7,13,46.1,12,14.5,14th and 15th grade,,14.5,,12,16-17,Eleventh grade,,,
ucl_mars_text.txt,61037,17612.1,10249,454,889,1382,5.96,22,0.04,1.7,8.8,17.9,17.58,6.86,13.1,40.69,10.8,10.5,10th and 11th grade,,10.5,,13,17-18,Twelfth grade,,,
ucl_philosophy_text.txt,219110,64624.5,36901,1878,3962,3955,5.94,19,0.05,1.8,11.2,16.4,17.17,6.27,13.1,35.27,9.6,7.5,16th and 17th grade,,16.5,,14,18-22,College,,,
ucl_publishing_text.txt,11120,3288.6,1927,97,176,487,5.77,19,0.05,1.7,8.8,15.7,16.19,8.57,11.9,43.73,9.6,15.5,15th and 16th grade,,15.5,,,,,,,
ucl_selcs_text.txt,3308968,971190,563395,30103,52019,14904,5.87,18,0.05,1.7,8.8,15.6,16.77,1.31,11.5,44.75,9.2,11,10th and 11th grade,,10.5,,,,,,,
ucl_slade_text.txt,1163693,351929.7,213455,10536,15688,4294,5.45,20,0.05,1.6,8.8,14.4,14.33,1.31,11.1,51.18,10,8,9th and 10th grade,,9.5,,,,,,,
ucl_ssees_text.txt,799131,236120.4,132925,6811,14070,9214,6.01,19,0.05,1.8,11.2,16.6,17.58,5.67,13.1,35.27,9.6,8.5,17th and 18th grade,,17.5,,,,,,,
ucl_english.txt,251956,74681.1,46034,1911,3325,3950,5.47,24,0.04,1.6,8.8,16.4,14.74,6.18,12.7,47.12,11.6,7,6th and 7th grade,,6.5,,,,,,,
ucl_english__textFAILED.txt,435,86.4,31,3,5,11,14.03,10,0.1,2.8,8.8,49.8,62.61,9.74,21.3,-40.19,6,5.5,5th and 6th grade,,,,,,,,,
Average,566324.2105,167540.1158,97364.31579,4627.210526,9141.526316,3923.105263,5.862105263,21.26315789,0.045263158,1.721052632,9.905263158,17.05789474,16.86052632,4.738947368,13.03157895,39.65315789,10.50526316,10.55263158,12.07894737,,,,,,,,,
age,,,,,,,,,,,15,22,22,9,18,20,16,16,17,17.22222222,,,,,,,,
